,id,duration,index,match_id,timestamp,start_x,start_y,end_x,end_y
758,83f3c01d-ab54-49af-a5cc-45a67241ef62,0.802442,2871,3939988,00:50:16.491,82.3,76.8,81.0,67.2
759,d02c974f-4382-4cdd-86d5-bce7ab4056ad,1.402824,2874,3939988,00:50:17.294,81.0,68.5,63.7,75.1
760,e93ba8e5-3396-4789-8f6b-5a3c7081eb95,0.535419,2878,3939988,00:50:21.492,65.5,76.4,71.1,79.7
761,a79b6944-613b-46de-94d1-e559cdca5732,1.454774,2882,3939988,00:50:24.513,56.6,72.4,68.2,53.6
762,91ee3a36-c5bc-4b0d-bb5d-2c64dcee942a,1.551286,2885,3939988,00:50:25.967,70.2,57.0,60.1,52.7
763,43bfa7e1-5792-405d-9082-d0ae359207a5,2.896828,2887,3939988,00:50:27.519,61.9,52.5,83.9,0.2
770,83514d07-781e-4a07-bdfe-1c8fca92f7be,3.774246,2907,3939988,00:51:38.362,9.7,46.0,76.0,65.8
9,b30c7a1a-9764-4a05-a659-d836f8363a0d,1.528277,12,3939980,00:00:24.596,28.1,0.1,7.8,15.7
10,0fe35903-e852-4dad-b109-42b0481542c3,2.078735,15,3939980,00:00:28.337,7.6,9.6,49.4,27.9
11,227aa82e-efab-4536-889f-e4b3564e24a1,0.971717,16,3939980,00:00:30.416,70.7,52.2,81.8,43.3
12,f9a5d4a9-ab1f-438c-a2b0-474d56460f3f,0.689164,18,3939980,00:00:31.443,81.7,43.4,88.7,38.8
13,86345b6e-668e-4ed0-9c1d-9600a9f510e0,2.783134,20,3939980,00:00:32.132,31.4,41.3,44.9,29.2
14,eec50502-5719-4b3e-bace-7979c46e999c,3.033837,23,3939980,00:00:34.915,45.3,29.3,68.7,32.7
21,dd2a2231-6515-4f2e-8399-477575c90700,0.70176,41,3939980,00:01:14.219,39.1,80.0,44.6,71.8
22,8df36e20-1314-47c4-aa3b-6bc7a11a9b22,0.9756,43,3939980,00:01:14.921,44.6,71.8,42.6,78.6
23,7df85aed-80f6-41db-9df9-15c4ed55dff8,0.596001,46,3939980,00:01:16.269,42.6,78.6,46.0,70.5
24,f750d257-6b50-4ab5-998a-29d6240a751f,0.644492,49,3939980,00:01:17.078,46.2,70.4,52.7,78.7
25,b7f73947-e5e6-4e0d-b647-9d37fb7719f0,1.890933,59,3939980,00:01:22.185,89.6,3.7,103.5,1.5
